path	repo	reason	created_or_modified_by_lane	commit_hash
Dockerfile.public	db-mcp-server	public image entrypoint tolerates Terraform env-variable deployment without pre-existing /app/env	yes	86ab9f5192dfe39fd7ac9f3d6c3be94010e01dfb
defaults.yaml	db-mcp-server	flat role permissions and ignored runtime demo key directory	yes	edd4e69cdb36d42a8a230546a7f409e028d53367
src/common/storage_paths.py	db-mcp-server	storage-backed text write helper for generated runtime key files	yes	edd4e69cdb36d42a8a230546a7f409e028d53367
src/core/access_control/models.py	db-mcp-server	read-write and read-only flat role permission model	yes	edd4e69cdb36d42a8a230546a7f409e028d53367
src/core/access_control/service.py	db-mcp-server	seed flat role API keys; principal summary; internal unmasked profile lookup	yes	edd4e69cdb36d42a8a230546a7f409e028d53367
src/core/connectors/service.py	db-mcp-server	use internal profile lookup so connector secrets remain intact	yes	edd4e69cdb36d42a8a230546a7f409e028d53367
src/core/connectors/mongodb/service.py	db-mcp-server	use internal profile lookup for Mongo connector secret access	yes	edd4e69cdb36d42a8a230546a7f409e028d53367
src/servers/a2a/app.py	db-mcp-server	require authenticated caller principal and permission for A2A tasks	yes	edd4e69cdb36d42a8a230546a7f409e028d53367
src/servers/api/app.py	db-mcp-server	add API auth/me and tighten job cancel permission	yes	edd4e69cdb36d42a8a230546a7f409e028d53367
src/servers/web/app.py	db-mcp-server	resolve managed API key in web auth/me	yes	edd4e69cdb36d42a8a230546a7f409e028d53367
src/servers/web/ui_spa.py	db-mcp-server	serve API-key runtime config when configured	yes	edd4e69cdb36d42a8a230546a7f409e028d53367
tests/application/AT_WEBUI_E2E/test_webui_e2e.py	db-mcp-server	API-key login mode and current UI assertions	yes	edd4e69cdb36d42a8a230546a7f409e028d53367
tests/unit/UT1.11_WebUiServing/test_web_ui_serving.py	db-mcp-server	runtime config expectation for API-key mode	yes	edd4e69cdb36d42a8a230546a7f409e028d53367
tests/unit/UT1.15_A2AServer/test_a2a_server.py	db-mcp-server	A2A auth and read-only denial coverage	yes	edd4e69cdb36d42a8a230546a7f409e028d53367
tests/unit/UT1.18_RelationalConnectorDispatch/test_relational_connector_dispatch.py	db-mcp-server	internal profile lookup dummy support	yes	edd4e69cdb36d42a8a230546a7f409e028d53367
tests/unit/UT1.2_AuthMiddleware/test_auth_middleware.py	db-mcp-server	auth/me and read-only write denial coverage	yes	edd4e69cdb36d42a8a230546a7f409e028d53367
tests/unit/UT1.3_AccessControlService/test_access_control_service.py	db-mcp-server	flat role key and internal profile secret coverage	yes	edd4e69cdb36d42a8a230546a7f409e028d53367
tests/unit/UT1.50_UnauthAuthGate/test_unauth_auth_gate.py	db-mcp-server	managed API-key web auth/me coverage	yes	edd4e69cdb36d42a8a230546a7f409e028d53367
working/w28a-732-r5/current	db-mcp-server	auditor evidence pack for W28A-732-R5	yes	evidence-pack-commit
