requirement	raw_artefact	observed_value	verification_command	status
G0 mandatory reading warrant	current/raw/g0-warrant-replay.txt	RULES and AGENT-LESSONS and AGENT-BOOTSTRAP-DIRECTIVE full-read hashes recorded; Vault token lookup 200	cat working/w28a-732-r5/current/raw/g0-warrant-replay.txt	PASS
G1 zero direct env log cache vault class-cache greps	current/raw/g1-greps.log	G1 PASS; direct-env/logging/cache/vault/class-cache matches all 0	grep -E 'G1 PASS|matches=0' working/w28a-732-r5/current/raw/g1-greps.log	PASS
G2 local service health	current/raw/g2-local-service.log	API/Web/MCP/A2A health endpoints returned HTTP 200; G2 PASS	grep -E 'HTTP 200|G2 PASS' working/w28a-732-r5/current/raw/g2-local-service.log	PASS
G3 QT UT ST IT AT green zero skips	current/raw/g3-pass-summary.log	G3 PASS 2026-06-11T12:37:54+01:00; no skip text in pass logs	grep 'G3 PASS' working/w28a-732-r5/current/raw/g3-pass-summary.log && ! grep -Eiq 'skip|skipped' working/w28a-732-r5/current/raw/g3-pass-*.log	PASS
G4 docker build via docker-build.sh	current/raw/g4-docker-build-redeploy-fix.log	Build OK: cloud-dog/db-mcp-server:latest via docker-build.sh	grep 'Build OK: cloud-dog/db-mcp-server:latest' working/w28a-732-r5/current/raw/g4-docker-build-redeploy-fix.log	PASS
G5 local Docker run named container health plus pip show	current/raw/g5-local-docker-run-redeploy-fix-pass.log	G5 PASS; local /health code 200; pip show db-mcp-server and Cloud-Dog package versions recorded	grep -E 'G5 PASS|final_health_code=200|Name: db-mcp-server|Name: cloud-dog-api-kit' working/w28a-732-r5/current/raw/g5-local-docker-run-redeploy-fix-pass.log	PASS
G6 image pushed with digest	current/raw/g6-image-push-redeploy-fix.log	Registry digest sha256:6dbe97620981910af9d4871f5b98fa6d0ef37373a880194d7417a4ce0d0b137d	grep 'sha256:6dbe97620981910af9d4871f5b98fa6d0ef37373a880194d7417a4ce0d0b137d' working/w28a-732-r5/current/raw/g6-image-push-redeploy-fix.log	PASS
G6 final service commit on origin main	current/raw/g6-commit.log	origin/main equals 86ab9f5192dfe39fd7ac9f3d6c3be94010e01dfb	grep '86ab9f5192dfe39fd7ac9f3d6c3be94010e01dfb.*refs/heads/main' working/w28a-732-r5/current/raw/g6-commit.log	PASS
G7 Terraform-only targeted deploy	current/raw/g7-terraform-apply-redeploy-fix.log	terraform apply targeted docker_image.dbmcpserver and docker_container.dbmcpserver0; Apply complete	grep 'Apply complete! Resources: 2 added, 0 changed, 1 destroyed' working/w28a-732-r5/current/raw/g7-terraform-apply-redeploy-fix.log	PASS
G7 live preprod health with 60 second recheck	current/raw/g7-preprod-health-60s.log	first and second https://dbmcpserver0.cloud-dog.net/api/health checks code 200; G7 PASS	grep -E 'code=200|G7 PASS' working/w28a-732-r5/current/raw/g7-preprod-health-60s.log	PASS
G8 anon login box live browser	current/raw/g8-preprod-playwright-rerun2.log	anon_login_box status 200 and inputs 1	grep 'anon_login_box.*\"status\": 200' working/w28a-732-r5/current/raw/g8-preprod-playwright-rerun2.log	PASS
G8 admin read-write read-only login live browser	current/raw/g8-preprod-playwright-rerun2.log	admin_auth_me/read-write_auth_me/read-only_auth_me all status 200 with matching roles	grep -E 'admin_auth_me|read-write_auth_me|read-only_auth_me' working/w28a-732-r5/current/raw/g8-preprod-playwright-rerun2.log	PASS
G8 read-only write denied inline	current/raw/g8-preprod-playwright-rerun2.log	read_only_data_create_denied status 403 and read_only_403_inline_screenshot recorded	grep -E 'read_only_data_create_denied.*\"status\": 403|read_only_403_inline_screenshot' working/w28a-732-r5/current/raw/g8-preprod-playwright-rerun2.log	PASS
