path	repo	reason	created_or_modified_by_lane	commit_hash
Dockerfile	db-mcp-server	internal PyPI BuildKit build compliance and OCI revision labels	YES	9f1e158a1c3e37748298aa35af950972f287eff6
defaults.yaml	db-mcp-server	runtime.profile routed through cloud_dog_config	YES	9f1e158a1c3e37748298aa35af950972f287eff6
docker-build.sh	db-mcp-server	populate OCI revision/build-date build args	YES	9f1e158a1c3e37748298aa35af950972f287eff6
docs/ROLES-AND-USECASES.md	db-mcp-server	W28A-746 b-method role/use-case matrix	YES	9f1e158a1c3e37748298aa35af950972f287eff6
docs/TESTS.md	db-mcp-server	document W28A-746 smoke/live tests	YES	9f1e158a1c3e37748298aa35af950972f287eff6
pyproject.toml	db-mcp-server	register security/fast pytest markers	YES	9f1e158a1c3e37748298aa35af950972f287eff6
src/core/test_data/service.py	db-mcp-server	remove direct os.getenv runtime profile read	YES	9f1e158a1c3e37748298aa35af950972f287eff6
tests/application/AT_WEBUI_E2E/test_webui_e2e.py	db-mcp-server	align application WebUI E2E with accepted cookie login/current labels	YES	9f1e158a1c3e37748298aa35af950972f287eff6
tests/e2e/test_w28a746_live_preprod_contract.py	db-mcp-server	live preprod contract proof for W28A-746	YES	9f1e158a1c3e37748298aa35af950972f287eff6
tests/smoke/test_w28a746_b_method_idam.py	db-mcp-server	local b-method IDAM/profile/group cascade proof	YES	9f1e158a1c3e37748298aa35af950972f287eff6
working/w28a-746/current	db-mcp-server	final evidence bundle	YES	EVIDENCE_COMMIT
