Requirement	Raw artefact	Raw value observed	Verification command	Pass
Start from current canonical main/latest	main-deployed-proof.log	origin/main and local HEAD both 9f1e158a after source push	git rev-parse HEAD; git rev-parse origin/main	PASS
Preserve accepted W28A-732-R5 and W28A-871-R2 work	git first-parent ancestry	2d11a0c ancestry retained; W28A-871-R2 and W28A-732-R5 tags remain ancestors	git log --first-parent --decorate	PASS
Deliver Sequence 7 / W28A-746 only	touched-paths-manifest.tsv	Changes limited to db-mcp W28A-746 docs/tests/config/Docker build compliance and evidence	git diff --name-only 2d11a0c..HEAD	PASS
Build, deploy, and prove live on dbmcpserver0	terraform-apply.log; live-health-and-identity.log	Terraform replaced dbmcpserver0; live health stable for six probes	terraform apply w28a-746-dbmcp.tfplan; curl health	PASS
Validator/checksums/tags plus main==deployed proof complete	main-deployed-proof.log	origin/main, local image, remote image, and running container all carry revision 9f1e158a	git/dockerd remote inspect proof	PASS
T0/T1/T2/T3 IDAM b-method local proof	smoke.log	W28A-746 smoke tests passed 2/2	python3 -m pytest tests/smoke/test_w28a746_b_method_idam.py --env tests/env-UT -q	PASS
QT to AT foreground tiers green	raw/tests/*.log	quality/unit/system/integration/smoke green; application rerun3 green 17 passed	python3 -m pytest tier commands	PASS
Production-source direct env reads removed	source grep output	No os.environ/os.getenv hits under src	grep -RInE os env patterns src	PASS
Internal PyPI build compliance	docker-build-latest-committed.log	BuildKit secret used with authenticated pypi.cloud-dog.net; image tagged latest	DEV_PIP_INDEX_URL + docker-build.sh latest --variant dev	PASS
Live API/Web/MCP/A2A contract proof	live-e2e-pytest-rerun2.log	2 passed against https://dbmcpserver0.cloud-dog.net	python3 -m pytest tests/e2e/test_w28a746_live_preprod_contract.py --env tests/env-AT -q	PASS
Live WebUI browser smoke proof	preprod-webui-smoke.log; screenshot-manifest.tsv	20 screenshots captured; fatal console/network count classified zero	Playwright Chromium smoke script	PASS
